Start,End,Sif,SrcIPaddress,SrcP,DIf,DstIPaddress,DstP,P,Fl,Pkts,Octets
0416.05:21:11.578,0416.05:21:11.595,0,192.168.0.107,39998,0,68.105.29.11,53,17,0,1,65
0416.05:21:11.578,0416.05:21:11.595,0,192.168.0.107,45488,0,68.105.29.11,53,17,0,1,65
0416.05:21:11.633,0416.05:21:11.670,0,192.168.0.107,33825,0,68.105.29.11,53,17,0,1,70
0416.05:21:11.633,0416.05:21:11.664,0,192.168.0.107,11847,0,68.105.29.11,53,17,0,1,70
0416.05:21:11.672,0416.05:21:11.698,0,192.168.0.107,31549,0,68.105.29.11,53,17,0,1,70
0416.05:21:11.672,0416.05:21:11.686,0,192.168.0.107,23184,0,68.105.29.11,53,17,0,1,70
0416.05:21:11.882,0416.05:21:11.900,0,192.168.0.107,21488,0,68.105.29.11,53,17,0,1,66
0416.05:21:11.882,0416.05:21:11.900,0,192.168.0.107,8537,0,68.105.29.11,53,17,0,1,66
0416.05:21:11.882,0416.05:21:11.900,0,192.168.0.107,2340,0,68.105.29.11,53,17,0,1,64
0416.05:21:11.883,0416.05:21:11.900,0,192.168.0.107,45585,0,68.105.29.11,53,17,0,1,64
0416.05:21:11.883,0416.05:21:11.900,0,192.168.0.107,18217,0,68.105.29.11,53,17,0,1,66
0416.05:21:11.883,0416.05:21:11.900,0,192.168.0.107,65389,0,68.105.29.11,53,17,0,1,66
0416.05:21:11.888,0416.05:21:11.900,0,192.168.0.107,29689,0,68.105.29.11,53,17,0,1,69
0416.05:21:11.888,0416.05:21:11.900,0,192.168.0.107,3831,0,68.105.29.11,53,17,0,1,69
0416.05:21:11.944,0416.05:21:11.961,0,192.168.0.107,20257,0,68.105.29.11,53,17,0,1,64
0416.05:21:11.945,0416.05:21:11.961,0,192.168.0.107,40899,0,68.105.29.11,53,17,0,1,64
0416.05:21:10.278,0416.05:21:12.997,0,192.168.0.107,58838,0,216.239.36.21,443,6,3,44,5179
0416.05:21:11.701,0416.05:21:12.981,0,192.168.0.107,54458,0,35.244.167.102,443,6,3,12,1859
0416.05:21:12.949,0416.05:21:12.977,0,192.168.0.107,10146,0,68.105.29.11,53,17,0,1,70
0416.05:21:14.263,0416.05:21:14.455,0,192.168.0.107,38388,0,3.33.220.150,443,6,3,12,1500
