Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0416.05:21:06.378 0416.05:21:06.398 0     68.105.29.11    53    0     192.168.0.107   19460 17  0  1          88        
0416.05:21:06.378 0416.05:21:06.398 0     192.168.0.107   19460 0     68.105.29.11    53    17  0  1          60        
0416.05:21:06.557 0416.05:21:06.579 0     68.105.29.11    53    0     192.168.0.107   3151  17  0  1          110       
0416.05:21:06.557 0416.05:21:06.579 0     192.168.0.107   3151  0     68.105.29.11    53    17  0  1          59        
0416.05:21:06.557 0416.05:21:06.579 0     68.105.29.11    53    0     192.168.0.107   9721  17  0  1          122       
0416.05:21:06.557 0416.05:21:06.579 0     192.168.0.107   9721  0     68.105.29.11    53    17  0  1          59        
0416.05:21:04.392 0416.05:21:07.468 0     192.168.0.164   54376 0     239.255.255.250 1900  17  0  4          812       
0416.05:21:07.967 0416.05:21:07.985 0     68.105.29.11    53    0     192.168.0.107   63175 17  0  1          117       
0416.05:21:07.967 0416.05:21:07.985 0     192.168.0.107   63175 0     68.105.29.11    53    17  0  1          53        
0416.05:21:07.967 0416.05:21:07.985 0     68.105.29.11    53    0     192.168.0.107   43414 17  0  1          110       
0416.05:21:07.967 0416.05:21:07.985 0     192.168.0.107   43414 0     68.105.29.11    53    17  0  1          53        
0416.05:21:07.985 0416.05:21:08.039 0     151.101.66.133  80    0     192.168.0.107   44118 6   3  5          584       
0416.05:21:07.985 0416.05:21:08.039 0     192.168.0.107   44118 0     151.101.66.133  80    6   3  5          581       
0416.05:21:08.095 0416.05:21:08.114 0     68.105.29.11    53    0     192.168.0.107   40934 17  0  1          118       
0416.05:21:08.095 0416.05:21:08.114 0     192.168.0.107   40934 0     68.105.29.11    53    17  0  1          57        
0416.05:21:08.095 0416.05:21:08.120 0     68.105.29.11    53    0     192.168.0.107   46640 17  0  1          130       
0416.05:21:08.095 0416.05:21:08.120 0     192.168.0.107   46640 0     68.105.29.11    53    17  0  1          57        
0416.05:21:08.514 0416.05:21:08.529 0     68.105.29.11    53    0     192.168.0.107   45277 17  0  1          135       
0416.05:21:08.514 0416.05:21:08.529 0     192.168.0.107   45277 0     68.105.29.11    53    17  0  1          55        
0416.05:21:08.514 0416.05:21:08.529 0     68.105.29.11    53    0     192.168.0.107   9480  17  0  1          195       
0416.05:21:08.514 0416.05:21:08.529 0     192.168.0.107   9480  0     68.105.29.11    53    17  0  1          55        
0416.05:21:08.515 0416.05:21:08.542 0     68.105.28.11    53    0     192.168.0.107   46676 17  0  1          86        
0416.05:21:08.515 0416.05:21:08.542 0     192.168.0.107   46676 0     68.105.28.11    53    17  0  1          70        
0416.05:21:08.515 0416.05:21:08.542 0     68.105.29.11    53    0     192.168.0.107   46676 17  0  1          86        
0416.05:21:08.515 0416.05:21:08.542 0     192.168.0.107   46676 0     68.105.29.11    53    17  0  1          70        
0416.05:21:08.515 0416.05:21:08.542 0     68.105.28.12    53    0     192.168.0.107   46676 17  0  1          86        
0416.05:21:08.515 0416.05:21:08.542 0     192.168.0.107   46676 0     68.105.28.12    53    17  0  1          70        
0416.05:21:08.515 0416.05:21:08.541 0     68.105.29.11    53    0     192.168.0.107   17823 17  0  1          98        
0416.05:21:08.515 0416.05:21:08.541 0     192.168.0.107   17823 0     68.105.29.11    53    17  0  1          70        
0416.05:21:08.517 0416.05:21:08.535 0     68.105.29.11    53    0     192.168.0.107   50657 17  0  1          148       
0416.05:21:08.517 0416.05:21:08.535 0     192.168.0.107   50657 0     68.105.29.11    53    17  0  1          64        
0416.05:21:08.521 0416.05:21:08.542 0     68.105.29.11    53    0     192.168.0.107   18084 17  0  1          188       
