Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   33422 0     192.168.0.203   929   6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   929   0     192.168.0.107   33422 6   4  1          40        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   60664 0     192.168.0.203   3226  6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   3226  0     192.168.0.107   60664 6   4  1          40        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   52500 0     192.168.0.203   2172  6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   2172  0     192.168.0.107   52500 6   4  1          40        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   44652 0     192.168.0.203   2605  6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   2605  0     192.168.0.107   44652 6   4  1          40        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   40296 0     192.168.0.203   192   6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   192   0     192.168.0.107   40296 6   4  1          40        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   43228 0     192.168.0.203   3606  6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   3606  0     192.168.0.107   43228 6   4  1          40        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   46978 0     192.168.0.203   4286  6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   4286  0     192.168.0.107   46978 6   4  1          40        
